timestamp,voltage
2024-06-10 19:38:04.039,"176
"
2024-06-10 19:38:08.881,"104
"
2024-06-10 19:38:08.884,"128
"
2024-06-10 19:38:09.075,"153
"
2024-06-10 19:38:18.937,"235
"
2024-06-10 19:38:20.091,"139
"
2024-06-10 19:38:20.094,"324
"
2024-06-10 19:38:25.951,"191
"
2024-06-10 19:38:25.954,"114
"
2024-06-10 19:38:25.956,"146
"
2024-06-10 19:38:32.018,"322
"
2024-06-10 19:38:33.847,"191
"
2024-06-10 19:38:33.849,"114
"
2024-06-10 19:38:33.852,"385
"
2024-06-10 19:38:36.422,"225
"
2024-06-10 19:38:36.428,"135
"
2024-06-10 19:38:36.433,"192
"
2024-06-10 19:38:39.496,"113
"
2024-06-10 19:38:39.499,"166
"
2024-06-10 19:38:42.781,"117
"
2024-06-10 19:38:43.671,"135
"
2024-06-10 19:38:44.924,"289
"
2024-06-10 19:38:47.301,"170
"
2024-06-10 19:38:47.303,"101
"
2024-06-10 19:38:47.306,"112
"
2024-06-10 19:38:48.929,"247
"
2024-06-10 19:38:50.035,"145
"
2024-06-10 19:38:50.038,"242
"
2024-06-10 19:38:52.246,"143
"
2024-06-10 19:38:52.248,"104
"
2024-06-10 19:38:53.627,"101
"
2024-06-10 19:38:56.084,"114
"
2024-06-10 19:38:56.900,"180
"
2024-06-10 19:38:57.445,"106
"
2024-06-10 19:38:57.450,"145
"
2024-06-10 19:39:00.898,"116
"
2024-06-10 19:39:01.612,"128
"
2024-06-10 19:39:03.101,"229
"
2024-06-10 19:39:04.175,"135
"
2024-06-10 19:39:04.179,"145
"
2024-06-10 19:39:08.844,"240
"
2024-06-10 19:39:09.278,"142
"
2024-06-10 19:39:09.280,"286
"
2024-06-10 19:39:09.796,"168
"
2024-06-10 19:39:09.799,"101
"
2024-06-10 19:39:09.802,"240
"
2024-06-10 19:39:10.542,"142
"
2024-06-10 19:39:10.545,"317
"
2024-06-10 19:39:12.408,"188
"
2024-06-10 19:39:12.411,"113
"
2024-06-10 19:39:12.413,"203
"
2024-06-10 19:39:20.923,"119
"
2024-06-10 19:39:20.931,"154
"
2024-06-10 19:39:21.349,"191
"
2024-06-10 19:39:25.742,"113
"
2024-06-10 19:39:25.747,"165
"
2024-06-10 19:39:26.075,"403
"
2024-06-10 19:39:30.782,"236
"
2024-06-10 19:39:30.786,"140
"
2024-06-10 19:39:30.791,"180
"
2024-06-10 19:39:31.534,"106
"
2024-06-10 19:39:31.536,"337
"
2024-06-10 19:39:31.575,"201
"
2024-06-10 19:39:31.580,"119
"
2024-06-10 19:39:31.595,"105
"
2024-06-10 19:39:35.687,"204
"
2024-06-10 19:39:38.392,"120
"
2024-06-10 19:39:38.394,"156
"
